id,customer_id,staff_id
100,1,24
101,2,24
102,2,24
103,3,24
104,2,24
105,2,24
106,6,24
113,2,24
116,2,24
118,6,24
133,9,24
158,0,24
163,0,24
164,0,24
181,0,24
187,0,24
188,0,24
291,0,24
362,0,24
478,0,24
840,0,24
865,0,24
1164,309,21
1210,309,21
1243,309,21
1297,309,21
1318,309,21
1381,309,21
1419,309,21
1476,309,21
1526,309,21
1563,309,21
1609,309,21
1639,309,21
1647,309,21
1665,309,21
1706,309,21
1737,309,21
1832,309,21
1880,309,21
1884,309,21
1965,0,24
1978,309,21
2027,309,21
2067,309,21
2107,309,21
2183,309,21
2188,309,21
2264,309,21
2322,309,21
2390,309,21
2429,309,21
2454,309,21
2493,309,21
2604,309,21
2621,309,21
2653,309,21
2702,309,21
2709,309,21
2726,309,21
2771,309,21
2832,309,21
2967,309,21
3034,309,21
3063,309,21
3110,309,21
3152,309,21
3185,309,21
3189,309,21
3252,309,21
3258,309,21
3327,309,21
3375,309,21
3431,309,21
3505,309,21
3549,309,21
3562,309,21
3587,309,21
3637,0,24
3639,0,24
3647,309,21
3743,309,21
3797,309,21
3883,309,21
3951,309,21
3967,309,21
4050,309,21
4106,309,21
4153,309,21
5218,0,24
5356,0,24
5578,0,24
5582,0,24
10420,0,24
10479,0,24
13389,0,24
13776,0,24
14578,0,24
14621,0,24
14626,0,24
14643,0,24
14645,0,24
14648,0,24
14758,0,24
14869,0,24
14920,0,24
15018,0,24
15046,0,24
15105,0,24
15291,0,24
15427,0,24
15453,0,24
15647,0,24
15649,0,24
15685,0,24
15692,0,24
15753,0,24
15754,0,24
15929,0,24
16069,0,24
16402,0,24
16403,0,24
16632,0,24
16633,0,24
16634,0,24
16707,0,24
16751,0,24
16753,0,24
16754,0,24
16755,0,24
16756,0,24
16757,0,24
16758,0,24
16813,0,24
16923,0,24
16986,0,24
16997,0,24
17071,0,24
17072,0,24
17073,0,24
17091,0,24
17160,0,24
17248,0,24
17362,0,24
17396,0,24
17455,0,24
17459,0,24
17474,0,24
17475,0,24
17476,0,24
17510,0,24
17817,0,24
17922,0,24
18867,0,24
18892,0,24
18923,0,24
20412,1764,6
20413,2106,24
20414,1174,17
20415,1773,10
20416,2165,5
20417,2165,5
20418,1846,5
20419,1013,17
20420,2115,5
20421,2102,21
20422,1606,21
20423,868,6
20424,1685,21
20425,2160,24
20426,2102,21
20427,2144,21
20428,533,5
20429,2086,21
20430,2153,7
20431,1691,17
20432,2166,24
20433,2167,24
20434,1226,17
20435,816,6
20436,552,7
20437,2013,6
20438,299,6
20439,1660,17
20440,466,6
20441,1052,17
20442,1770,7
20443,2114,7
20444,1822,21
20445,1013,17
20446,1957,6
20447,1213,6
20448,2144,21
20449,807,17
20450,1122,7
20451,1370,24
20452,658,6
20453,1370,24
20454,2115,5
20327,1013,35
20328,807,35
20329,1466,35
20334,2020,35
20336,235,35
20344,2128,35
20348,2137,35
20351,1891,35
20362,1660,35
20375,807,35
20405,1601,35
20406,846,35
20408,293,35
20409,1397,35
